apellido,frec_pri,frec_seg
ARECHIGA,89,83
CARRANCO,89,42
GARDEA,89,67
LANDIN,89,75
NAPOLES,89,72
PEDRO,89,129
SANSORES,89,94
SILVERIO,89,101
TORIBIO,89,116
TOVILLA,89,76
AUSTRIA,88,88
AVIÑA,88,105
BERUMEN,88,126
CAHUICH,88,68
COBIAN,88,98
COLLAZO,88,55
NOGUEZ,88,81
PEÏ¿½A,88,64
RABADAN,88,87
VILLALVA,88,125
CESPEDES,87,76
CORTINA,87,88
MONTAÑEZ,87,82
PENAGOS,87,89
ABUNDIS,86,94
AGUADO,86,89
CANTERO,86,84
DORADO,86,102
LEPE,86,94
RESENDEZ,86,115
SANTES,86,96
TEC,86,96
UGARTE,86,71
ZARCO,86,110
ALQUICIRA,85,70
CABRALES,85,79
CARAVEO,85,76
DE LIRA,85,77
ENTZIN,85,49
GERALDO,85,90
MIS,85,55
QUINONES,85,105
RAYMUNDO,85,97
SIMENTAL,85,80
URESTI,85,83
ZERMEÑO,85,74
CAMILO,84,53
COB,84,86
FRAIRE,84,87
GAYOSSO,84,122
LOZOYA,84,109
OLIVER,84,87
PASILLAS,84,70
PIZANO,84,93
PLAZA,84,69
URIARTE,84,84
AVELINO,83,75
CAMPOY,83,62
CAPETILLO,83,71
CHAVERO,83,106
DELOYA,83,78
GONZAGA,83,124
GRANILLO,83,74
LORENZANA,83,81
MARTELL,83,79
RAMIRO,83,107
SAMPEDRO,83,108
SERAFIN,83,104
VARGUEZ,83,108
AVENDANO,82,83
CABAÑAS,82,111
COMPEAN,82,72
LICEA,82,96
LOMAS,82,88
MONTER,82,82
ORTEGON,82,85
PANTALEON,82,99
PELCASTRE,82,79
REJON,82,59
VERDE,82,87
APONTE,81,58
ATILANO,81,98
CHAGOYA,81,87
ITURBIDE,81,102
LEGORRETA,81,90
LIMAS,81,58
MAYORQUIN,81,82
NINO,81,61
PENALOZA,81,78
PUCH,81,79
PUERTO,81,85
SALGUERO,81,68
AVITIA,80,70
CASTANON,80,74
CRISOSTOMO,80,72
CUESTA,80,51
MARCELO,80,83
MIRON,80,99
PALACIO,80,86
XOLALPA,80,61
AMEZQUITA,79,85
AZAMAR,79,60
BALBOA,79,65
BARRALES,79,86
EGUIA,79,104
ESCANDON,79,74
GERVACIO,79,80
LINO,79,81
LUJANO,79,56
MANCILLAS,79,53
MAZARIEGOS,79,87
ORONA,79,60
PAZOS,79,61
ROCHIN,79,74
BERMEJO,78,72
CEDANO,78,85
CIGARROA,78,68
GUIZAR,78,60
ROGEL,78,90
SALADO,78,60
ACUNA,77,59
CEREZO,77,85
CULEBRO,77,73
GIJON,77,59
NUÃ¿EZ,77,66
OLIVEROS,77,112
OSEGUERA,77,57
TRIANA,77,73
CHIN,76,59
LARES,76,63
MONTA%O,76,60
RUMBO,76,60
ZAPIEN,76,66
ARRIOLA,75,88
CIENFUEGOS,75,69
CORRO,75,76
DEL CASTILLO,75,83
ESCOTO,75,69
LANDAVERDE,75,50
ORDUÑO,75,86
PINACHO,75,39
RETANA,75,79
SANTANDER,75,71
ZENDEJAS,75,68
CASTELLON,74,75
COLLADO,74,56
LEOS,74,91
MAAS,74,86
MIER,74,56
MU#OZ,74,94
QUIRINO,74,55
TAMAY,74,64
ARGUETA,73,92
ARISTA,73,52
BASULTO,73,73
BOLANOS,73,78
CATARINO,73,59
CRISPIN,73,70
DE ALBA,73,64
ESPINOBARROS,73,67
GUADALUPE,73,149
HORTA,73,88
JARDON,73,76
LAMAS,73,81
LUQUE,73,73
MAZON,73,77
TEODORO,73,55
ZEFERINO,73,76
ESPEJO,72,68
ITURBE,72,66
MILAN,72,60
MORQUECHO,72,75
OLARTE,72,81
TREVI#O,72,64
ANASTACIO,71,59
BRAMBILA,71,93
CIPRIANO,71,58
MACEDA,71,74
MONGE,71,55
MONTANEZ,71,72
VERASTEGUI,71,64
ZALETA,71,65
ANIMAS,70,28
CARRAZCO,70,87
DE LA MORA,70,69
NATAREN,70,70
ORDOÏ¿½EZ,70,89
REBOLLO,70,47
RUFINO,70,73
SANTIBAÑEZ,70,64
TOBIAS,70,69
VELIZ,70,65
BRICE%O,69,40
CASIMIRO,69,79
COCA,69,60
DEL CARMEN,69,53
GAITAN,69,100
MANZANILLA,69,89
MINA,69,55
POBLANO,69,80
ROSA,69,125
ROSENDO,69,63
VIZCAINO,69,53
XOOL,69,101
ZUÃ¿IGA,69,74
ALDAPE,68,46
AYUSO,68,42
BERISTAIN,68,83
BRINGAS,68,67
CLARA,68,70
DE LA CERDA,68,59
ESPERICUETA,68,90
GUEL,68,71
I%IGUEZ,68,55
KOYOC,68,38
LLANAS,68,86
LUVIANO,68,85
MAYEN,68,62
MELENDREZ,68,80
PIZA,68,56
ROLON,68,53
SAHAGUN,68,60
VANEGAS,68,82
ZAYAS,68,61
CARDIEL,67,78
CARRION,67,73
CHALE,67,76
ENCINO,67,50
EUGENIO,67,51
FACUNDO,67,67
GUDIÑO,67,86
JORGE,67,102
LASTRA,67,44
LAZO,67,68
MAS,67,78
NAZARIO,67,71
SABINO,67,57
TAVIRA,67,56
TIJERINA,67,96
VAQUERA,67,75
VILLAGRANA,67,65
BACAB,66,64
CANDELARIA,66,70
CETZ,66,44
CHAVARIN,66,65
CORTAZAR,66,58
GUARNEROS,66,65
LAUREL,66,70
LUGARDO,66,53
MARINO,66,79
MATAMOROS,66,61
MORFIN,66,65
MORONES,66,55
OCAÏ¿½A,66,58
PARGA,66,85
PEREIRA,66,58
RAYAS,66,77
SOBERANO,66,56
TORREZ,66,81
UTRERA,66,94
UTRILLA,66,70
VICTORIO,66,73
APOLINAR,65,70
AZCORRA,65,48
CHIM,65,70
ILLESCAS,65,42
MELGOZA,65,79
NARCISO,65,65
ORTIGOZA,65,62
PALOMEQUE,65,63
PENICHE,65,57
POZO,65,63
TAVARES,65,60
VIGIL,65,72
VILLAMIL,65,91
WALLE,65,69
ARCHUNDIA,64,74
BACILIO,64,45
CALVARIO,64,57
COLMENARES,64,90
CUPUL,64,63
FRAGA,64,60
HONORATO,64,64
JOAQUIN,64,101
LEINES,64,23
LOYO,64,70
MASCORRO,64,84
MENDO,64,51
OBISPO,64,62
ORDUÑA,64,84
PEREDO,64,68
PORTUGAL,64,49
REVELES,64,84
REVILLA,64,78
SANTA,64,64
SOTOMAYOR,64,43
TURRUBIATES,64,68
ZAGAL,64,40
ZUÏ¿½IGA,64,84
AMBROCIO,63,60
AVENA,63,55
BRICEÑO,63,68
CHAIRES,63,80
CHAVELAS,63,65
CHONG,63,63
COYOTE,63,33
DIOSDADO,63,50
ESQUINCA,63,73
JOCOBI,63,77
JOYA,63,37
LAUREANO,63,68
MADERO,63,93
PALOS,63,57
POBLETE,63,60
SAGAHON,63,66
SUSTAITA,63,78
TAH,63,31
ALDAY,62,49
ALEJOS,62,66
BEAS,62,45
CANDELARIO,62,58
CEH,62,57
DAVIS,62,85
DE LOS,62,60
DE LOS REYES,62,54
DUENAS,62,53
ESPINAL,62,46
GALLO,62,71
IÑIGUEZ,62,77
MAQUEDA,62,62
MTEZ,62,86
PARAMO,62,62
POLITO,62,45
RUBALCAVA,62,49
URBAN,62,56
VALDIVIEZO,62,57
ABADIA,61,48
ALBINO,61,88
BAAS,61,49
BOLIVAR,61,54
MANZANERO,61,55
NERIA,61,86
OSNAYA,61,58
REDONDO,61,50
REY,61,75
SIMBRON,61,55
TELLES,61,46
ZATARAIN,61,52
ZEA,61,65
ASCENCION,60,48
ATONAL,60,33
BASTO,60,78
CAÑEDO,60,41
DIONISIO,60,51
FLETES,60,62
HERMIDA,60,51
HOIL,60,54
MARQUINA,60,52
MERLIN,60,73
PLATAS,60,62
ROJANO,60,83
SECUNDINO,60,51
TEJERO,60,79
VALDERRABANO,60,51
VALERIANO,60,59
VILLAFAÑA,60,60
BANDALA,59,53
CASIQUE,59,50
DEHESA,59,57
GRACIANO,59,51
MAGALLON,59,65
MARRON,59,43
MIJARES,59,42
MORADO,59,59
MORGAN,59,64
NOGUEDA,59,60
ORGANISTA,59,54
PAULINO,59,72
SALDA!A,59,54
TABARES,59,49
TORIZ,59,61
VICARIO,59,40
BASTIDAS,58,44
CERNA,58,57
DE LA PEÑA,58,67
JORDAN,58,78
LABRA,58,86
LOAIZA,58,90
OLIVAREZ,58,75
ORANTES,58,66
PERCASTEGUI,58,24
PEREGRINO,58,72
PEÑUELAS,58,40
PLUMA,58,40
RUGERIO,58,43
VALENZO,58,41
YA%EZ,58,43
ALTUZAR,57,51
AMARILLAS,57,42
BALANZAR,57,64
CABANAS,57,52
CABANILLAS,57,49
CAJERO,57,38
ESCUTIA,57,69
HAAS,57,68
IRIGOYEN,57,49
MARAVILLA,57,60
MONJARAS,57,62
PANTI,57,52
PE!ALOZA,57,54
REQUENA,57,73
TOALA,57,36
ALVIZO,56,61
BERRONES,56,66
CANIZALES,56,64
CAPISTRAN,56,47
CASTILLON,56,47
JONGUITUD,56,50
PATLAN,56,69
PEÏ¿½ATE,56,43
SANTIZO,56,38
TAFOYA,56,60
UVALLE,56,37
ABREU,55,51
AC,55,54
ALMEYDA,55,32
ARAMBURO,55,59
BURGARA,55,67
CHAB,55,36
CHIÑAS,55,46
DOMINGO,55,42
ELIZARRARAS,55,32
GALINDEZ,55,34
GODINA,55,54
HERRADA,55,55
LAGOS,55,58
MATOS,55,57
MONJARAZ,55,58
OLIVAR,55,41
PIEDRAS,55,48
RUBI,55,49
SILLAS,55,64
AMADO,54,64
BENITES,54,47
BONIFAZ,54,53
BUCIO,54,57
CARDOZO,54,54
CATZIN,54,62
CHAMORRO,54,44
DEGOLLADO,54,31
ESCORZA,54,49
EUSEBIO,54,45
GRACIDA,54,73
HINOJOS,54,73
ISIDORO,54,40
MARCELINO,54,43
PEÃ¿A,54,46
PI%A,54,35
REYNAGA,54,71
SOLTERO,54,52
A!ORVE,53,25
ALDAZ,53,41
BALLEZA,53,49
COBA,53,45
CRISANTO,53,34
FLORENTINO,53,47
MASTACHE,53,45
MEXICANO,53,52
MODESTO,53,49
PEINADO,53,63
SANTIS,53,50
URREA,53,48
ALMADA,52,51
BARAHONA,52,38
BORQUEZ,52,42
BURGUEÑO,52,43
HIGAREDA,52,36
HUCHIM,52,72
IBANEZ,52,60
INDA,52,44
LIMONES,52,34
NAHUAT,52,31
PASOS,52,70
QUINTO,52,54
SILOS,52,43
TZAB,52,50
ABOYTES,51,51
ALTO,51,35
ALVIDREZ,51,53
AMARAL,51,44
BATISTA,51,36
BRINDIS,51,36
CABA!AS,51,66
CAHUN,51,58
CANTERA,51,26
CARTAS,51,41
CESE!A,51,54
COSSIO,51,56
CUAUTLE,51,58
DOROTEO,51,48
ESPAÑA,51,56
IRACHETA,51,49
MAGOS,51,55
MESA,51,44
ORENDAY,51,68
PALLARES,51,46
PALOMERA,51,78
POLO,51,79
RICARDO,51,55
SAMPERIO,51,48
SANMIGUEL,51,39
SASTRE,51,75
SEVERIANO,51,46
TIZNADO,51,53
ANCHONDO,50,50
BUTRON,50,57
CASTRUITA,50,41
CEBREROS,50,72
CERROS,50,45
COHUO,50,41
GAMIÑO,50,60
HERAS,50,75
HUICOCHEA,50,51
ITZA,50,42
KOH,50,41
MACHORRO,50,39
OLAGUE,50,43
OMAÑA,50,38
ORDO#EZ,50,46
ORELLAN,50,35
PECINA,50,63
QUISTIAN,50,46
RETA,50,63
SERRATOS,50,47
TLAPALE,50,23
TZEC,50,64
VIDALS,50,46
CAMPAS,49,44
CAMPILLO,49,46
CHIU,49,38
COSS,49,36
DAZA,49,57
ESCARCEGA,49,78
FONTES,49,45
GUEMEZ,49,48
JARILLO,49,43
NEPOMUCENO,49,30
PIZAÑA,49,34
SALAMANCA,49,64
TRONCOSO,49,46
VIDRIO,49,46
VIRAMONTES,49,62
AGUIÑAGA,48,57
ALDERETE,48,49
ALVEAR,48,46
BARANDA,48,44
BARRUETA,48,51
BENAVIDEZ,48,58
BENCOMO,48,43
BERLANGA,48,58
CAMBEROS,48,36
COCOLETZI,48,26
DE LA SANCHA,48,43
LAREDO,48,43
LEONARDO,48,37
MANILLA,48,31
MARTIN DEL CAMPO,48,33
MUCIÑO,48,46
NU%O,48,53
POMPA,48,46
PORTALES,48,54
REGINO,48,52
TACUBA,48,47
XOCHIPA,48,43
AMIGON,47,39
AVENDAÃ¿O,47,34
CANELA,47,36
CHICO,47,26
CIFUENTES,47,56
COSTILLA,47,37
DE HARO,47,38
DEL MORAL,47,77
ELVIRA,47,44
ESCAREÑO,47,50
FAZ,47,44
GAETA,47,37
MONCAYO,47,48
PISCIL,47,40
PIZARRO,47,67
QUERO,47,39
RAYO,47,62
SALDIERNA,47,26
SIORDIA,47,44
SOBREVILLA,47,63
SONI,47,49
TRIGUEROS,47,42
TRUJEQUE,47,35
VICTORINO,47,59
VIVERO,47,22
XOCHIHUA,47,38
ARIZPE,46,50
ARRATIA,46,56
BA%UELOS,46,48
CAMERO,46,35
CIBRIAN,46,64
COLON,46,44
CORTINAS,46,44
CUEVA,46,43
CUSTODIO,46,44
ESCORCIA,46,46
ESTEVA,46,66
FAVILA,46,35
FONG,46,26
GABINO,46,48
GOPAR,46,71
HERMENEGILDO,46,43
JAIMEZ,46,49
JIJON,46,59
LORETO,46,56
MAXIMO,46,35
OLACHEA,46,44
PALESTINA,46,41
PATI!O,46,36
QUE,46,42
SILVAN,46,31
SULUB,46,49
SUMANO,46,28
TRUJANO,46,38
URBIETA,46,37
ALCUDIA,45,39
ANZUREZ,45,38
ATZIN,45,25
AZUA,45,52
CALLES,45,40
COPADO,45,35
FERREIRA,45,55
GRESS,45,42
LANGARICA,45,44
MALACARA,45,38
MARCHAN,45,48
MONTUFAR,45,55
MOZO,45,34
NAH,45,51
NESTOR,45,42
PAULIN,45,38
PEREGRINA,45,38
PROCOPIO,45,44
REFUGIO,45,23
RUZ,45,42
SAGRERO,45,26
SALOME,45,48
SAMAYOA,45,66
SILLER,45,43
SOL,45,41
UH,45,41
VAQUERO,45,44
VASCONCELOS,45,45
VIDAÑA,45,50
VILLARRUEL,45,56
ZERTUCHE,45,46
ABRAHAM,44,41
ALDACO,44,68
ALFONZO,44,37
ALMENDAREZ,44,48
ANDRACA,44,57
ARGUMEDO,44,47
AVENDAÏ¿½O,44,52
BARREDA,44,30
BELMONTE,44,54
BLANCARTE,44,35
CASTA!ON,44,27
CHIRINO,44,40
CRUCES,44,31
CUADRAS,44,26
DEL REAL,44,60
FERMIN,44,81
FITZ,44,39
FUERTE,44,45
GONZALES,44,53
MACEDONIO,44,46
MORGA,44,61
MU!IZ,44,42
OROS,44,22
PLANCARTE,44,29
RECIO,44,56
SAÑUDO,44,31
SIGALA,44,51
TAGLE,44,62
UBALDO,44,52
VALENCIANO,44,31
VERTIZ,44,29
ZARZA,44,54
ZEBADUA,44,29
CABUTO,43,24
CACHO,43,40
CACHON,43,35
CAMBERO,43,41
CAMBRANIS,43,43
CANDELAS,43,39
CARRIZALEZ,43,27
CHAIDEZ,43,53
CHANONA,43,40
EVARISTO,43,48
FACIO,43,39
GAMERO,43,34
LUENGAS,43,42
MANCHA,43,46
MATUZ,43,61
MOLANO,43,23
MONARREZ,43,60
MONTEALEGRE,43,47
MONTEJANO,43,58
MOREIRA,43,19
PALAZUELOS,43,36
SAMPAYO,43,49
SILVEIRA,43,30
SOLAR,43,47
SUASTE,43,43
VILLASE%OR,43,54
ALATRISTE,42,39
CACH,42,22
CASASOLA,42,32
COLMENERO,42,42
CUTZ,42,46
IRIBE,42,35
JULIO,42,45
KAUIL,42,35
MONTA!O,42,70
MONTOR,42,29
SALES,42,41
SANDATE,42,15
SANGUINO,42,34
SURIANO,42,39
TLATELPA,42,38
VILLARINO,42,37
ARADILLAS,41,46
CARRENO,41,44
CASTELO,41,21
CERRILLO,41,30
CHANG,41,59
CINTORA,41,30
CUNDAPI,41,24
KEB,41,61
MACARIO,41,51
MARINES,41,29
NOLAZCO,41,24
OCON,41,31
PREZA,41,25
SAN AGUSTIN,41,41
TECPA,41,42
TOVIAS,41,38
XIU,41,41
ABUNDEZ,40,31
ACERO,40,39
ALOR,40,52
AMPARO,40,48
ARRAZOLA,40,53
BE,40,52
BERZUNZA,40,41
BRISENO,40,50
CANTE,40,38
CASTOR,40,30
CHIQUITO,40,32
CLIMACO,40,24
COUTIÃ¿O,40,53
CUAMATZI,40,60
DE AQUINO,40,26
ECHEVARRIA,40,37
LECONA,40,33
LIERA,40,31
MEJORADO,40,27
MISS,40,29
PANDURO,40,18
PAZARAN,40,27
REMIGIO,40,32
RODEA,40,39
ROSILES,40,25
TARANGO,40,76
TORRE,40,30
TREVIZO,40,47
VIELMA,40,55
ZEPAHUA,40,39
AGUAS,39,48
ARANO,39,35
AUDELO,39,37
BOLA!OS,39,22
BOLOM,39,27
CAMPECHANO,39,29
CANTOR,39,46
CANTORAN,39,33
CECILIO,39,16
CESEÑA,39,27
CLAUDIO,39,37
DEL CARPIO,39,25
DURAZO,39,37
ESPINA,39,33
LEE,39,58
LIBRADO,39,21
LLAVEN,39,47
LOVERA,39,45
LULE,39,41
MUÐOZ,39,44
NEBUAY,39,34
NOTARIO,39,40
NOVOA,39,58
NU#EZ,39,40
OCEGUERA,39,59
OYERVIDES,39,52
PARRILLA,39,22
SAYAGO,39,33
TELESFORO,39,26
TURRIZA,39,39
TZUC,39,48
VADILLO,39,36
YEBRA,39,35
ADRIAN,38,36
AISPURO,38,48
BASTARRACHEA,38,18
BRETON,38,41
BRIANO,38,44
CASTILLEJA,38,33
CIME,38,49
CONCEPCION,38,74
FERRAL,38,29
GARIBO,38,47
GENIS,38,38
IRINEO,38,24
LAVARIEGA,38,25
MADARIAGA,38,52
MARAÑON,38,38
MEZQUITA,38,41
MORON,38,35
MUKUL,38,51
NAJAR,38,44
OLAYA,38,43
QUIJAS,38,20
RADILLO,38,23
RIOJAS,38,39
SAUZA,38,16
SIQUEIROS,38,39
TENA,38,49
UITZ,38,45
VILCHES,38,28
VILLALON,38,59
ZU#IGA,38,35
ABUNDIZ,37,35
AGUNDEZ,37,51
ALDRETE,37,31
ANALCO,37,46
BARONA,37,15
BATALLA,37,53
BELMAN,37,36
BERROCAL,37,24
BORBOA,37,33
CASADOS,37,53
CASTAÏ¿½EDA,37,30
CUADROS,37,42
DIRZO,37,28
FERNANDO,37,29
FERREYRA,37,21
FLORENCIO,37,51
GALDAMEZ,37,54
GUARDIOLA,37,19
IRIARTE,37,34
KUK,37,29
LUEVANOS,37,29
MARTAGON,37,26
MONRROY,37,32
MONTELLANO,37,33
PALENCIA,37,31
PE#A,37,37
PERAL,37,26
PINTADO,37,24
PITA,37,45
QUINONEZ,37,62
QUITERIO,37,27
ROMUALDO,37,26
ROSILLO,37,45
SALAIS,37,19
SANTIN,37,48
SIMA,37,49
TORALES,37,29
TOSCA,37,48
TOSTADO,37,65
VILLAMAR,37,45
ALVIRDE,36,32
ANCHEYTA,36,19
ANGUAMEA,36,36
BANOS,36,51
BELMONT,36,35
BERBER,36,35
BURGUETE,36,59
CALOCA,36,20
CASTAÐEDA,36,45
CHARGOY,36,42
CLAVEL,36,69
DAMASO,36,22
DE AVILA,36,50
DESALES,36,36
GANDARILLA,36,47
GOCOBACHI,36,33
GOYTIA,36,31
HIRALES,36,47
LABRADA,36,24
LADRON,36,27
MAGANDA,36,28
MALTOS,36,34
OLIVOS,36,29
PALE,36,61
PINON,36,45
RENOVATO,36,32
SMITH,36,21
SOLACHE,36,46
TAVAREZ,36,24
TLATEMPA,36,31
VILLAFRANCA,36,29
VILLAREAL,36,29
ACOLTZI,35,40
AZCONA,35,23
BARCENA,35,29
BARRA,35,28
BARRIGA,35,71
BATRES,35,43
BAYARDO,35,24
BORRAZ,35,59
BRACAMONTE,35,29
BRACHO,35,31
CARDENA,35,36
CONDADO,35,36
CU,35,41
DE HOYOS,35,53
FAUSTINO,35,31
GARIBALDI,35,44
GUDINO,35,38
JOACHIN,35,28
LIBREROS,35,38
LICON,35,29
MARENTES,35,28
MITRE,35,28
MONTERROSA,35,45
NI!O,35,30
NOGUERA,35,31
NUÑO,35,40
OBESO,35,62
PONCIANO,35,21
REYNADA,35,13
SAGAON,35,35
SOLER,35,47
SONDA,35,22
TABAREZ,35,30
TAMARIZ,35,21
VINIEGRA,35,29
ALDABA,34,16
BONFIL,34,22
CARBALLIDO,34,39
CARRETERO,34,23
CEDEÑO,34,33
CHOLULA,34,23
CRISTERNA,34,28
CUEN,34,23
DONJUAN,34,35
ESPONDA,34,18
FEREGRINO,34,37
HERVER,34,34
HUERTAS,34,37
INIGUEZ,34,24
LAMADRID,34,27
LAVIN,34,40
MICHUA,34,22
MONRREAL,34,33
MONTIJO,34,31
NABOR,34,51
NAFATE,34,24
OAXACA,34,45
OLASCOAGA,34,47
OLMEDA,34,25
PANO,34,29
PATRACA,34,32
PORCAYO,34,49
SAN MARTIN,34,49
SANGABRIEL,34,15
SANTILLANA,34,21
SERENO,34,17
TAFOLLA,34,35
VIZUET,34,25
XICOHTENCATL,34,35
AMPARAN,33,26
ARGUIJO,33,49
AÑORVE,33,24
BOHORQUEZ,33,38
BRISE%O,33,27
BUELNA,33,41
CAHUANTZI,33,28
CANSINO,33,36
CAÑAS,33,29
CHAMPO,33,30
COMONFORT,33,35
DESIDERIO,33,22
DOMINGUILLO,33,21
DUE%AS,33,59
ELORZA,33,31
GACHUZ,33,34
GALERA,33,39
HUIDOBRO,33,23
HUITZIL,33,28
JARDINES,33,38
KUMUL,33,37
LAZARIN,33,17
LORANCA,33,36
MENENDEZ,33,34
MESINO,33,14
MONFORTE,33,32
MONTALVAN,33,26
MONTEON,33,40
NARCIA,33,23
PACHUCA,33,25
PARCERO,33,26
PASTEN,33,38
PISTE,33,32
PIÃ¿A,33,44
POLICARPO,33,16
RECINOS,33,36
RICOY,33,22
SALDA%A,33,37
SALVATIERRA,33,32
SIXTOS,33,37
TEXIS,33,38
TORRIJOS,33,26
URQUIZA,33,57
VERDEJA,33,18
VILLAVERDE,33,36
VITELA,33,39
YAÃ¿EZ,33,34
YEPIZ,33,35
ABAN,32,36
AGUINAGA,32,33
AHEDO,32,17
APOLONIO,32,45
BAENA,32,46
BUGARIN,32,37
CAMAS,32,43
CAMERAS,32,26
CASALES,32,37
CENOBIO,32,20
CERRITOS,32,18
CHIRINOS,32,32
CIAU,32,39
CRESCENCIO,32,22
CUPIL,32,39
DENIS,32,26
ENCINOS,32,42
FAUSTO,32,54
GARCILAZO,32,35
GARDUZA,32,34
GARMA,32,35
GERON,32,14
GOROCICA,32,40
GRAVE,32,17
GUINTO,32,20
LIÑAN,32,31
LONA,32,43
LONGINOS,32,24
MEJORADA,32,31
MEMIJE,32,41
MONTERROSAS,32,24
MONZALVO,32,34
NATIVIDAD,32,37
NICANOR,32,30
OCAÃ¿A,32,24
PALMEROS,32,56
PERRUSQUIA,32,36
POZAS,32,22
PRUDENTE,32,43
RAGA,32,17
RICAÑO,32,28
RONZON,32,36
SALDAÏ¿½A,32,28
SAN ROMAN,32,27
SILVAS,32,41
SUAZO,32,24
TENANGO,32,25
TEPEPA,32,29
TORO,32,31
TRUEBA,32,36
TUT,32,37
VALLADOLID,32,39
VEJAR,32,49
YEE,32,33
ZENIL,32,31
ADRIANO,31,22
ALBAVERA,31,28
AMORES,31,26
ANDALON,31,16
ANTE,31,31
ATANACIO,31,19
BAZA,31,39
BOLIO,31,39
CAHUM,31,35
CAL Y MAYOR,31,25
CAMBRON,31,25
CAMPERO,31,31
CAREAGA,31,39
CARRIZOSA,31,54
CECEÑA,31,34
CERRITO,31,19
CESAR,31,34
CRISTINO,31,31
CUAHUTLE,31,41
CUATECONTZI,31,30
DAVID,31,18
DE LARA,31,51
DE LOERA,31,31
DE LUCIO,31,16
DORIA,31,15
FIMBRES,31,24
GEORGE,31,27
INCLAN,31,20
IRRA,31,29
JUNCO,31,35
LIZCANO,31,41
PACHO,31,19
PLASENCIA,31,28
PLAZOLA,31,32
RGUEZ,31,31
SABAS,31,22
SESMA,31,32
SIGUENZA,31,28
TUYUB,31,30
URQUIDEZ,31,25
ALDUCIN,30,28
ANZUETO,30,29
AYORA,30,28
BRIZUELA,30,43
CABRIALES,30,15
CALAN,30,29
CARLIN,30,36
CEJUDO,30,36
CHAMU,30,27
CHEVEZ,30,25
COHETERO,30,28
CONCHAS,30,24
CONEJO,30,54
DECENA,30,27
DEVORA,30,29
ELIGIO,30,53
EMILIANO,30,43
ESTEVES,30,52
FLORIN,30,21
GUADIAN,30,25
HERBERT,30,33
JAEN,30,24
JEREZ,30,14
LUPERCIO,30,35
LURIA,30,25
MANCINAS,30,59
MINERO,30,21
MOGOLLON,30,10
MORALEZ,30,30
NAVEZ,30,15
NEGRON,30,19
NEYOY,30,36
NIEBLA,30,52
OCANA,30,27
ORBE,30,30
ORENDAIN,30,13
PALOMEC,30,44
PESINA,30,56
PINAL,30,20
PITALUA,30,24
POPOCATL,30,30
REYNOSA,30,45
SANTINI,30,31
SOTERO,30,39
TARIN,30,43
VERONICA,30,18
VIRUES,30,16
ZERON,30,30
ZUNUN,30,30
ABONCE,29,37
ALBORNOZ,29,26
ANZALDO,29,26
APREZA,29,45
ARZETA,29,33
BERNARDO,29,32
BOCARDO,29,17
BORBOLLA,29,19
CAICEROS,29,7
CALDERAS,29,14
CANIZALEZ,29,36
CARPINTEYRO,29,26
CELEDON,29,36
CERDAN,29,18
CHAY,29,56
CLETO,29,19
DEL CAMPO,29,54
DINORIN,29,53
EHUAN,29,55
EMETERIO,29,37
FERMAN,29,29
IBARRIA,29,25
LUZ,29,57
MARIA,29,403
MARTIR,29,27
MINJAREZ,29,21
MOYAO,29,40
MUCINO,29,30
NILA,29,40
OSTOS,29,27
PERUSQUIA,29,37
RIOJA,29,16
ROSALINO,29,15
SANTAELLA,29,26
SAURI,29,15
SERRA,29,32
SOLEDAD,29,30
TERRON,29,31
VARONA,29,27
VENZOR,29,20
VILLAFAN,29,19
VUELVAS,29,17
YAÐEZ,29,37
ZORRILLA,29,25
ALAMILLO,28,34
ALBITER,28,33
ARCIGA,28,24
ARMIJO,28,25
ATONDO,28,25
BA!OS,28,34
BARCELO,28,34
BELMARES,28,41
BROCA,28,23
CALIHUA,28,28
CANTABRANA,28,9
CASTA#EDA,28,37
CENDEJAS,28,26
DEL BOSQUE,28,40
DEL VILLAR,28,33
DIAS,28,23
DURANTE,28,41
EUFRACIO,28,17
GANTE,28,13
GARATE,28,30
GOMORA,28,24
GOROSTIETA,28,39
GUIDO,28,30
GUIJARRO,28,30
ITURRALDE,28,34
LACUNZA,28,12
LEYTE,28,30
MARTEL,28,19
MAURO,28,18
MENTADO,28,22
MESINA,28,15
MOLAR,28,40
MORTERA,28,23
NAVIDAD,28,24
ORDO!EZ,28,47
PILLADO,28,31
PRUDENCIO,28,32
RIESTRA,28,33
SOMBRA,28,47
SUSANO,28,32
TECO,28,23
TECOLAPA,28,11
TITO,28,17
TORRALBA,28,39
ULIN,28,33
VALERDI,28,17
XICOTENCATL,28,29
YA!EZ,28,40
YBARRA,28,23
ZAFRA,28,35
ZARRAGA,28,12
ANDA,27,26
ARAUZ,27,19
ARRIOJA,27,23
BACASEGUA,27,27
BAYLON,27,18
BERRELLEZA,27,31
CARI!O,27,29
CASTELLANO,27,33
CENTURION,27,44
CERNAS,27,23
CHULIM,27,17
CUATEPOTZO,27,27
CURA,27,24
FERRAEZ,27,23
FILIO,27,27
FRAYRE,27,31
GARCIDUEÑAS,27,13
GENCHI,27,38
GLEZ,27,40
GUERECA,27,22
HAM,27,20
INES,27,20
INIESTRA,27,16
ISIORDIA,27,44
LARRAÑAGA,27,18
LLERENAS,27,20
MACIP,27,19
MAGALLAN,27,18
MASCAREÑO,27,14
MATADAMAS,27,29
MAXIMINO,27,13
